Question,Generated Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Lebih spesifiknya, candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.",Pemugaran,"{'bleu': 0.26319860724800737, 'precisions': [0.28888888888888886, 0.2727272727272727, 0.2558139534883721, 0.23809523809523808], 'brevity_penalty': 1.0, 'length_ratio': 3.4615384615384617, 'translation_length': 45, 'reference_length': 13}","{'rouge1': np.float64(0.391304347826087), 'rouge2': np.float64(0.3636363636363636), 'rougeL': np.float64(0.391304347826087), 'rougeLsum': np.float64(0.391304347826087)}",0.8770707845687866,0.5208733081817627
Berapa jarak antara Candi Borobudur dan Semarang?,"Menurut teks yang diberikan, jarak antara Candi Borobudur dan Semarang adalah kurang lebih 100 km di sebelah barat daya Semarang.",Pemugaran,"{'bleu': 0.44231933624679737, 'precisions': [0.5454545454545454, 0.47619047619047616, 0.4, 0.3684210526315789], 'brevity_penalty': 1.0, 'length_ratio': 1.6923076923076923, 'translation_length': 22, 'reference_length': 13}","{'rouge1': np.float64(0.6874999999999999), 'rouge2': np.float64(0.6), 'rougeL': np.float64(0.6874999999999999), 'rougeLsum': np.float64(0.6874999999999999)}",0.8143622279167175,0.30155038833618164
Siapa yang mendirikan Candi Borobudur?,"Menurut teks yang kamu berikan, Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.",Pemugaran,"{'bleu': 0.2988565156407745, 'precisions': [0.37037037037037035, 0.3076923076923077, 0.28, 0.25], 'brevity_penalty': 1.0, 'length_ratio': 2.7, 'translation_length': 27, 'reference_length': 10}","{'rouge1': np.float64(0.5454545454545454), 'rouge2': np.float64(0.5161290322580645), 'rougeL': np.float64(0.5454545454545454), 'rougeLsum': np.float64(0.5454545454545454)}",0.8412275314331055,0.3103342056274414
Pada masa pemerintahan mana Candi Borobudur didirikan?,Pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.,Pemugaran,"{'bleu': 0.7037259479962376, 'precisions': [0.9166666666666666, 0.9090909090909091, 0.9, 0.8888888888888888], 'brevity_penalty': 0.7788007830714049, 'length_ratio': 0.8, 'translation_length': 12, 'reference_length': 15}","{'rouge1': np.float64(0.8695652173913044), 'rouge2': np.float64(0.8571428571428571), 'rougeL': np.float64(0.8695652173913044), 'rougeLsum': np.float64(0.8695652173913044)}",0.7579419612884521,0.2735137939453125
Apa status Candi Borobudur di dunia?,"Mohon maaf, saya tidak memiliki informasi yang cukup tentang status Candi Borobudur di dunia. Saya tidak ingin memberikan jawaban yang tidak akurat, jadi saya akan mengatakan bahwa saya tidak tahu secara pasti tentang status Candi Borobudur di dunia.",Pemugaran,"{'bleu': 0.0, 'precisions': [0.16666666666666666, 0.07317073170731707, 0.025, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 2.210526315789474, 'translation_length': 42, 'reference_length': 19}","{'rouge1': np.float64(0.21818181818181817), 'rouge2': np.float64(0.07547169811320754), 'rougeL': np.float64(0.1818181818181818), 'rougeLsum': np.float64(0.1818181818181818)}",0.5348039269447327,0.3165111541748047
Kapan pemugaran Candi Borobudur pertama kali dilakukan?,"Pemugaran Candi Borobudur pertama kali dilakukan pada tahun 1907, di bawah pimpinan van Erp.",Pemugaran,"{'bleu': 1.0, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 16, 'reference_length': 16}","{'rouge1': np.float64(1.0), 'rouge2': np.float64(1.0), 'rougeL': np.float64(1.0), 'rougeLsum': np.float64(1.0)}",1.0000001192092896,0.25290989875793457
Apa yang dicapai oleh van Erp dalam pemugaran Candi Borobudur pertama?,Van Erp berhasil menyelesaikan tiga lapis chatra di atas yasthi stupa induk dalam pemugaran Candi Borobudur pertama pada tahun 1907.,Pemugaran,"{'bleu': 0.502363220235973, 'precisions': [0.7142857142857143, 0.6, 0.5263157894736842, 0.5], 'brevity_penalty': 0.8668778997501817, 'length_ratio': 0.875, 'translation_length': 21, 'reference_length': 24}","{'rouge1': np.float64(0.6666666666666666), 'rouge2': np.float64(0.6), 'rougeL': np.float64(0.6666666666666666), 'rougeLsum': np.float64(0.6666666666666666)}",0.7683835029602051,0.341935396194458
Siapa yang memimpin pemugaran Candi Borobudur pada tahun 1925-1926?,Pemugaran Candi Borobudur pada tahun 1925-1926 dipimpin oleh Theodoor van der Groen van Rijk.,Pemugaran,"{'bleu': 1.0, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 17, 'reference_length': 17}","{'rouge1': np.float64(1.0), 'rouge2': np.float64(1.0), 'rougeL': np.float64(1.0), 'rougeLsum': np.float64(1.0)}",1.0,0.23382306098937988
Apa tujuan pemugaran Candi Borobudur pada tahun 1973-1983?,"Tujuan pemugaran Candi Borobudur pada tahun 1973-1983 adalah meluruskan kembali kemiringan Candi Borobudur akibat bobot bangunan, yang berhasil mengembalikan kemiringan dari 5 m menjadi 40 cm.",Pemugaran,"{'bleu': 0.8390782502060267, 'precisions': [0.9, 0.8620689655172413, 0.8214285714285714, 0.7777777777777778], 'brevity_penalty': 1.0, 'length_ratio': 1.0344827586206897, 'translation_length': 30, 'reference_length': 29}","{'rouge1': np.float64(0.9433962264150944), 'rouge2': np.float64(0.9019607843137256), 'rougeL': np.float64(0.9433962264150944), 'rougeLsum': np.float64(0.9433962264150944)}",0.9795732498168945,0.26897478103637695
Apa hasil dari beberapa kali proses pemugaran Candi Borobudur?,"Hasil dari beberapa kali proses pemugaran Candi Borobudur adalah:1. Pemugaran pertama pada tahun 1907 dipimpin oleh van Erp, yang berhasil menyelesaikan tiga lapis chatra di atas yasthi stupa induk.2. Pemugaran kedua pada tahun 1925-1926 dipimpin oleh Theodoor van der Groen van Rijk, yang fokus pada memperbaiki bagian kaki Candi Borobudur hingga badan candi tingkat pertama.3. Pemugaran ketiga pada tahun 1973-1983 bertujuan meluruskan kembali kemiringan Candi Borobudur akibat bobot bangunan, yang berhasil mengembalikan kemiringan dari 5 m menjadi 40 cm.Dengan demikian, hasil dari beberapa kali proses pemugaran Candi Borobudur adalah mempertahankan keutuhan bangunan candi ini dan mengembalikan kemiringan yang asli.",Pemugaran,"{'bleu': 0.1149411169413896, 'precisions': [0.15126050420168066, 0.11864406779661017, 0.10256410256410256, 0.09482758620689655], 'brevity_penalty': 1.0, 'length_ratio': 5.173913043478261, 'translation_length': 119, 'reference_length': 23}","{'rouge1': np.float64(0.253968253968254), 'rouge2': np.float64(0.20967741935483872), 'rougeL': np.float64(0.23809523809523808), 'rougeLsum': np.float64(0.23809523809523808)}",0.656989574432373,0.475994348526001
Apa langkah pertama dalam usaha pemugaran Candi Borobudur?,"Langkah pertama dalam usaha pemugaran Candi Borobudur adalah pembongkaran seluruh bagian rupadhatu, yaitu lima tingkat segi empat di atas kaki candi.",Pemugaran,"{'bleu': 1.0, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 23, 'reference_length': 23}","{'rouge1': np.float64(1.0), 'rouge2': np.float64(1.0), 'rougeL': np.float64(1.0), 'rougeLsum': np.float64(1.0)}",0.9999998807907104,0.26705288887023926
Apa yang dilakukan terhadap batu-batu kulit setelah dibongkar?,"Setelah dibongkar, batu-batu kulit yang ada di Candi Borobudur dibersihkan dan diawetkan satu demi satu.",Pemugaran,"{'bleu': 0.4782215756494834, 'precisions': [0.7058823529411765, 0.5625, 0.4666666666666667, 0.35714285714285715], 'brevity_penalty': 0.9428731438548749, 'length_ratio': 0.9444444444444444, 'translation_length': 17, 'reference_length': 18}","{'rouge1': np.float64(0.6470588235294118), 'rouge2': np.float64(0.5625), 'rougeL': np.float64(0.6470588235294118), 'rougeLsum': np.float64(0.6470588235294118)}",0.801406979560852,0.25005173683166504
