,Question,Generated Answer,Topic,BLEU Score,ROUGE Score,Inference Time
0,"""Bagaimana peristiwa pengeboman Candi Borobudur mempengaruhi persepsi dunia terhadap Indonesia?""","Peristiwa pengeboman Candi Borobudur berdampak negatif pada persepsi dunia terhadap Indonesia, menimbulkan kekhawatiran tentang keamanan dan stabilitas negara. Hal ini memengaruhi citra Indonesia sebagai tujuan pariwisata yang aman dan menarik.",Arsitektur,"{'bleu': 0.20153108216982601, 'precisions': [0.5454545454545454, 0.28125, 0.16129032258064516, 0.06666666666666667], 'brevity_penalty': 1.0, 'length_ratio': 1.1379310344827587, 'translation_length': 33, 'reference_length': 29}","{'rouge1': 0.5818181818181818, 'rouge2': 0.339622641509434, 'rougeL': 0.509090909090909, 'rougeLsum': 0.509090909090909}",3.9893319606781006
1,"""Apakah terdapat simbolisme atau makna khusus dalam tipologi atap Candi Borobudur?""",Saya tidak menemukan informasi mengenai simbolisme atau makna khusus dalam tipologi atap Candi Borobudur dalam konteks yang diberikan.,Arsitektur,"{'bleu': 0.0, 'precisions': [0.3157894736842105, 0.1111111111111111, 0.0, 0.0], 'brevity_penalty': 0.6918258252705171, 'length_ratio': 0.7307692307692307, 'translation_length': 19, 'reference_length': 26}","{'rouge1': 0.3, 'rouge2': 0.15789473684210528, 'rougeL': 0.25, 'rougeLsum': 0.25}",2.8840394020080566
2,"""Apa yang membuat Candi Borobudur unik dibandingkan dengan candi lain di Indonesia?""","Candi Borobudur memiliki konstruksi dan arsitektur yang sangat tinggi, serta mengandung berbagai konsep logika dan literasi yang kuat.",Arsitektur,"{'bleu': 0.3957436133748496, 'precisions': [0.9, 0.6842105263157895, 0.6111111111111112, 0.5882352941176471], 'brevity_penalty': 0.5769498103804866, 'length_ratio': 0.6451612903225806, 'translation_length': 20, 'reference_length': 31}","{'rouge1': 0.761904761904762, 'rouge2': 0.6, 'rougeL': 0.761904761904762, 'rougeLsum': 0.761904761904762}",2.533676862716675
3,"""Bagaimana relief-relief di Candi Borobudur terkait dengan konsep arkeoastronomi?""","Relief-relief di Candi Borobudur menggambarkan objek dan peristiwa astronomis, seperti bulan, bintang, dan gugus bintang Pleiades, menunjukkan hubungan dengan konsep arkeoastronomi. Selain itu, struktur stupa candi digunakan sebagai gnomon untuk mengukur waktu dan jumlah stupa didasarkan pada aspek astronomi, seperti lintasan titik puncak dan titik balik matahari.",Arsitektur,"{'bleu': 0.20002858163702827, 'precisions': [0.4727272727272727, 0.25925925925925924, 0.16981132075471697, 0.07692307692307693], 'brevity_penalty': 1.0, 'length_ratio': 1.25, 'translation_length': 55, 'reference_length': 44}","{'rouge1': 0.5057471264367815, 'rouge2': 0.3058823529411765, 'rougeL': 0.3448275862068966, 'rougeLsum': 0.3448275862068966}",4.1142737865448
4,"""Mengapa Candi Borobudur memiliki bentuk stupa di puncaknya, dan bagaimana hal ini mencerminkan simbolisme?""","Candi Borobudur memiliki bentuk stupa di puncaknya karena stupa merupakan simbol penting dalam ajaran Buddhisme yang mewakili tubuh, pikiran, dan ajaran Buddha. Bentuk stupa mencerminkan perjalanan spiritual menuju kesempurnaan dan menjadi seorang Buddha.",Arsitektur,"{'bleu': 0.3413432858051438, 'precisions': [0.5675675675675675, 0.3888888888888889, 0.37142857142857144, 0.35294117647058826], 'brevity_penalty': 0.8276299132500707, 'length_ratio': 0.8409090909090909, 'translation_length': 37, 'reference_length': 44}","{'rouge1': 0.4788732394366197, 'rouge2': 0.40579710144927533, 'rougeL': 0.4788732394366197, 'rougeLsum': 0.4788732394366197}",3.9027490615844727
5,"""Bagaimana bentuk atap pada relief Candi Borobudur dapat memberikan identitas khusus pada bangunan tersebut?""","Bentuk atap pada relief Candi Borobudur memberikan identitas khusus karena mencerminkan kekayaan bentuk atap tradisional. Selain itu, bentuk atap juga memengaruhi kondisi lingkungan di dalam bangunan.",Arsitektur,"{'bleu': 0.3374560387475053, 'precisions': [0.5517241379310345, 0.39285714285714285, 0.25925925925925924, 0.23076923076923078], 'brevity_penalty': 1.0, 'length_ratio': 1.2083333333333333, 'translation_length': 29, 'reference_length': 24}","{'rouge1': 0.6382978723404256, 'rouge2': 0.4444444444444445, 'rougeL': 0.5957446808510638, 'rougeLsum': 0.5957446808510638}",2.123056173324585
6,"""Apa tujuan awal pembangunan Candi Borobudur?""","Tujuan awal pembangunan Candi Borobudur adalah sebagai bentuk penghormatan yang agung dan tempat praktis untuk mencapai tujuan spiritual. Namun, saya tidak memiliki informasi lebih lanjut tentang detail spesifiknya.",Arsitektur,"{'bleu': 0.5374023224705314, 'precisions': [0.6129032258064516, 0.5666666666666667, 0.5172413793103449, 0.4642857142857143], 'brevity_penalty': 1.0, 'length_ratio': 1.4090909090909092, 'translation_length': 31, 'reference_length': 22}","{'rouge1': 0.7659574468085106, 'rouge2': 0.711111111111111, 'rougeL': 0.7659574468085106, 'rougeLsum': 0.7659574468085106}",2.7606089115142822
7,"""Apakah ada hubungan antara konstruksi piramida dan aspek-aspek arkeoastronomi di Candi Borobudur?""",Tidak ada hubungan langsung antara konstruksi piramida dan aspek arkeoastronomi di Candi Borobudur. Penelitian lebih fokus pada orientasi mata angin dan simbolisme astronomi dalam struktur dan relief candi.,Arsitektur,"{'bleu': 0.08045650582450371, 'precisions': [0.6333333333333333, 0.3103448275862069, 0.17857142857142858, 0.1111111111111111], 'brevity_penalty': 0.3219582715376759, 'length_ratio': 0.46875, 'translation_length': 30, 'reference_length': 64}","{'rouge1': 0.4235294117647059, 'rouge2': 0.2650602409638554, 'rougeL': 0.4, 'rougeLsum': 0.4}",3.3253285884857178
8,"""Berapa banyak stupa di Candi Borobudur yang memiliki harmika segi delapan?""",Saya tidak menemukan informasi itu dalam konteks yang diberikan. Saya tidak tahu berapa banyak stupa di Candi Borobudur yang memiliki harmika segi delapan.,Arsitektur,"{'bleu': 0.3589485409071449, 'precisions': [0.4, 0.375, 0.34782608695652173, 0.3181818181818182], 'brevity_penalty': 1.0, 'length_ratio': 1.7857142857142858, 'translation_length': 25, 'reference_length': 14}","{'rouge1': 0.5294117647058824, 'rouge2': 0.5000000000000001, 'rougeL': 0.5294117647058824, 'rougeLsum': 0.5294117647058824}",3.4413769245147705
9,"""Apakah ada relief yang menggambarkan fauna yang tidak umum ditemui?""","Ya, ada relief yang menggambarkan fauna yang tidak umum ditemui di Pulau Jawa, seperti singa.",Arsitektur,"{'bleu': 0.02434266969457312, 'precisions': [0.6666666666666666, 0.23529411764705882, 0.125, 0.06666666666666667], 'brevity_penalty': 0.12802169265485286, 'length_ratio': 0.32727272727272727, 'translation_length': 18, 'reference_length': 55}","{'rouge1': 0.3103448275862069, 'rouge2': 0.07142857142857142, 'rougeL': 0.27586206896551724, 'rougeLsum': 0.27586206896551724}",2.100433349609375
