Question,Generated Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Lebih spesifiknya, candi ini berjarak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.",Budaya,"{'bleu': 0.26319860724800737, 'precisions': [0.28888888888888886, 0.2727272727272727, 0.2558139534883721, 0.23809523809523808], 'brevity_penalty': 1.0, 'length_ratio': 3.4615384615384617, 'translation_length': 45, 'reference_length': 13}","{'rouge1': np.float64(0.391304347826087), 'rouge2': np.float64(0.3636363636363636), 'rougeL': np.float64(0.391304347826087), 'rougeLsum': np.float64(0.391304347826087)}",0.8670977354049683,0.3428480625152588
Berapa jarak antara Candi Borobudur dan Semarang?,"Menurut informasi yang saya miliki, Candi Borobudur terletak kurang lebih 100 km di sebelah barat daya Semarang.",Budaya,"{'bleu': 0.6553609623522635, 'precisions': [0.6842105263157895, 0.6666666666666666, 0.6470588235294118, 0.625], 'brevity_penalty': 1.0, 'length_ratio': 1.4615384615384615, 'translation_length': 19, 'reference_length': 13}","{'rouge1': np.float64(0.8275862068965517), 'rouge2': np.float64(0.8148148148148148), 'rougeL': np.float64(0.8275862068965517), 'rougeLsum': np.float64(0.8275862068965517)}",0.8925924301147461,0.2777528762817383
Siapa yang mendirikan Candi Borobudur?,"Menurut teks yang disediakan, Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.",Budaya,"{'bleu': 0.31107972814824386, 'precisions': [0.38461538461538464, 0.32, 0.2916666666666667, 0.2608695652173913], 'brevity_penalty': 1.0, 'length_ratio': 2.6, 'translation_length': 26, 'reference_length': 10}","{'rouge1': np.float64(0.5625), 'rouge2': np.float64(0.5333333333333333), 'rougeL': np.float64(0.5625), 'rougeLsum': np.float64(0.5625)}",0.8645707964897156,0.26771068572998047
Pada masa pemerintahan mana Candi Borobudur didirikan?,Pada masa pemerintahan wangsa Syailendra sekitar tahun 800-an Masehi.,Budaya,"{'bleu': 0.7037259479962376, 'precisions': [0.9166666666666666, 0.9090909090909091, 0.9, 0.8888888888888888], 'brevity_penalty': 0.7788007830714049, 'length_ratio': 0.8, 'translation_length': 12, 'reference_length': 15}","{'rouge1': np.float64(0.8695652173913044), 'rouge2': np.float64(0.8571428571428571), 'rougeL': np.float64(0.8695652173913044), 'rougeLsum': np.float64(0.8695652173913044)}",0.7579419612884521,0.25682806968688965
Apa status Candi Borobudur di dunia?,"Maaf, saya tidak memiliki informasi yang cukup tentang status Candi Borobudur di dunia. Saya tidak bisa memberikan jawaban yang akurat tentang hal ini.",Budaya,"{'bleu': 0.0, 'precisions': [0.19230769230769232, 0.08, 0.041666666666666664, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.368421052631579, 'translation_length': 26, 'reference_length': 19}","{'rouge1': np.float64(0.19999999999999998), 'rouge2': np.float64(0.052631578947368425), 'rougeL': np.float64(0.15), 'rougeLsum': np.float64(0.15)}",0.5104909539222717,0.2844233512878418
Apa keunikan Candi Borobudur?,"Keunikan Candi Borobudur adalah sebagai berikut:1. Candi Borobudur adalah satu-satunya tempat pemujaan Budha yang terbesar di dunia.2. Arsitektur candi yang kompleks dan indah, dengan piramida bertingkat yang unik.3. Mengandung sejumlah aneka ragam karya artistik, seperti relif naratif, relief dekoratif, patung, dan ornamen.4. Terdapat lebih dari 1.460 relif naratif yang mengambil tempat sepanjang 2.300 meter dan menutup bidang seluas 1.900 meter persegi.5. Candi Borobudur juga memiliki patung singa (32 buah), gargotles (100 buah), dan ornamen segi tiga (1.740 buah).Keunikan-keunikan ini membuat Candi Borobudur menjadi salah satu situs warisan budaya dunia yang sangat berharga dan indah.",Budaya,"{'bleu': 0.10581511781947217, 'precisions': [0.144, 0.12096774193548387, 0.0975609756097561, 0.07377049180327869], 'brevity_penalty': 1.0, 'length_ratio': 6.578947368421052, 'translation_length': 125, 'reference_length': 19}","{'rouge1': np.float64(0.2903225806451613), 'rouge2': np.float64(0.22950819672131148), 'rougeL': np.float64(0.2741935483870967), 'rougeLsum': np.float64(0.2741935483870967)}",0.8558501601219177,0.5081460475921631
 Berapa banyak relief naratif yang terdapat di Candi Borobudur?,"Menurut teks yang diberikan, ada kurang dari 1.460 relif naratif yang terdapat di Candi Borobudur.",Budaya,"{'bleu': 0.0, 'precisions': [0.5294117647058824, 0.25, 0.13333333333333333, 0.0], 'brevity_penalty': 0.6246347280002745, 'length_ratio': 0.68, 'translation_length': 17, 'reference_length': 25}","{'rouge1': np.float64(0.4285714285714286), 'rouge2': np.float64(0.25), 'rougeL': np.float64(0.380952380952381), 'rougeLsum': np.float64(0.380952380952381)}",0.7372308969497681,0.26485705375671387
Apa saja yang terdapat di Candi Borobudur selain relief naratif?,"Selain relief naratif, di Candi Borobudur terdapat beberapa hal lainnya, yaitu:1. Relief dekoratif2. 324 ratna3. 1.740 ornamen segi tiga4. 100 gargotles (patung pancuran)5. 32 patung singaSemua ini merupakan bagian dari keindahan dan kompleksitas arsitektur Candi Borobudur.",Budaya,"{'bleu': 0.19300403619224038, 'precisions': [0.42857142857142855, 0.25, 0.14893617021276595, 0.08695652173913043], 'brevity_penalty': 1.0, 'length_ratio': 1.5806451612903225, 'translation_length': 49, 'reference_length': 31}","{'rouge1': np.float64(0.5714285714285714), 'rouge2': np.float64(0.32786885245901637), 'rougeL': np.float64(0.5396825396825398), 'rougeLsum': np.float64(0.5396825396825398)}",0.9684962630271912,0.3612697124481201
Berapa luas bidang yang ditutupi oleh relief di Candi Borobudur?,Luas bidang yang ditutupi oleh relief di Candi Borobudur adalah sekitar 1.900 meter persegi.,Budaya,"{'bleu': 0.0, 'precisions': [0.5333333333333333, 0.2857142857142857, 0.15384615384615385, 0.0], 'brevity_penalty': 0.8751733190429475, 'length_ratio': 0.8823529411764706, 'translation_length': 15, 'reference_length': 17}","{'rouge1': np.float64(0.5294117647058824), 'rouge2': np.float64(0.375), 'rougeL': np.float64(0.47058823529411764), 'rougeLsum': np.float64(0.47058823529411764)}",0.9448701739311218,0.24824953079223633
Apa yang dapat dilihat dan dirasakan dari Candi Borobudur?,"Berdasarkan teks yang diberikan, beberapa hal yang dapat dilihat dan dirasakan dari Candi Borobudur adalah:1. Doktrin Budhis melalui sejumlah aneka ragam karya artistik.2. Relif naratif sepanjang 2.300 meter yang menutup bidang seluas 1.900 meter persegi.3. Relief dekoratif.4. 324 ratna (patung atau ukiran yang berfungsi sebagai hiasan).5. 1.740 ornamen segi tiga (ukiran atau patung yang memiliki bentuk segi tiga).6. 100 gargotles (patung pancuran).7. 32 patung singa (patung berbentuk singa).Dengan demikian, Candi Borobudur menawarkan pengalaman visual dan estetika yang sangat luas dan kompleks.",Budaya,"{'bleu': 0.0371195625091999, 'precisions': [0.13043478260869565, 0.06140350877192982, 0.02654867256637168, 0.008928571428571428], 'brevity_penalty': 1.0, 'length_ratio': 4.791666666666667, 'translation_length': 115, 'reference_length': 24}","{'rouge1': np.float64(0.2608695652173913), 'rouge2': np.float64(0.1592920353982301), 'rougeL': np.float64(0.19130434782608696), 'rougeLsum': np.float64(0.19130434782608696)}",0.8025617599487305,0.48878908157348633
